"Title: Hospital Admissions per 1,000 Population by Ownership Type | The Henry J. Kaiser Family Foundation"
"Timeframe: 1999 - 2015"
"Location","1999__State/Local Government","1999__Non-Profit","1999__For-Profit","1999__Total","2000__State/Local Government","2000__Non-Profit","2000__For-Profit","2000__Total","2001__State/Local Government","2001__Non-Profit","2001__For-Profit","2001__Total","2002__State/Local Government","2002__Non-Profit","2002__For-Profit","2002__Total","2003__State/Local Government","2003__Non-Profit","2003__For-Profit","2003__Total","2004__State/Local Government","2004__Non-Profit","2004__For-Profit","2004__Total","2005__State/Local Government","2005__Non-Profit","2005__For-Profit","2005__Total","2006__State/Local Government","2006__Non-Profit","2006__For-Profit","2006__Total","2007__State/Local Government","2007__Non-Profit","2007__For-Profit","2007__Total","2008__State/Local Government","2008__Non-Profit","2008__For-Profit","2008__Total","2009__State/Local Government","2009__Non-Profit","2009__For-Profit","2009__Total","2010__State/Local Government","2010__Non-Profit","2010__For-Profit","2010__Total","2011__State/Local Government","2011__Non-Profit","2011__For-Profit","2011__Total","2012__State/Local Government","2012__Non-Profit","2012__For-Profit","2012__Total","2013__State/Local Government","2013__Non-Profit","2013__For-Profit","2013__Total","2014__State/Local Government","2014__Non-Profit","2014__For-Profit","2014__Total","2015__State/Local Government","2015__Non-Profit","2015__For-Profit","2015__Total"
"United States","16.8078","87.5369","14.321","118.6657","15.9342","86.6564","14.674","120.0024","16.255","87.6295","14.7206","118.6051","16.2801","88.2879","15.1591","119.7271","15.9359","88.2708","15.4084","119.6151","16.1066","87.7106","15.6626","119.4798","15.9853","87.2847","15.576","118.846","16.228","86.3505","15.8383","118.417","16.4684","85.37957104","15.33870517","117.1866932","16.5015","85.08851287","15.89916533","117.4891765","15.8209","83.983","15.918","115.72","15.1708","82.53284198","15.91999661","113.6236054","14.75653977","80.82856808","16.23917798","111.8242858","14","79","17","110","13","77","16","106","13","74","16","104","13","74","16","104"
"Alabama","63.451","63.524","26.3615","153.3364","57.9293","63.1905","31.723","153.0455","59.3697","62.1784","31.8007","153.3488","56.6932","62.2819","32.0302","151.0053","57.6658","63.1091","36.6492","157.4241","57.5024","63.3746","37.2776","158.1546","58.77","59.5401","37.009","155.3191","68.4657","40.3931","40.0933","148.9521","69.05969963","41.5834477","39.77893843","150.4220858","69.34013816","40.16300286","37.46666997","146.969811","67.3805","37.7424","36.2722","141.4","63.25603964","36.22762887","34.74182799","134.2254965","60.89986258","36.34998019","32.94697055","130.1968133","68","36","32","135","67","36","30","133","67","35","28","130","62","28","37","127"
"Alaska","8.8249","48.6538","8.3567","65.8354","7.674","58.7993","8.238","74.0126","8.7834","60.592","8.1764","77.5518","7.5513","58.3945","8.1951","74.1408","7.0016","53.6065","10.3212","70.9292","7.5454","51.4553","9.9596","68.9603","6.8556","58.7227","11.3486","76.9269","5.9798","58.8324","12.4732","77.2854","6.390842134","59.43717281","16.96031182","82.78832676","6.538056312","59.54296094","18.50245232","84.58346957","5.8356","57.2048","18.8912","81.93","6.214416269","55.57399665","18.05219998","79.8406129","5.007874451","53.16497665","17.41496975","75.58782085","5","55","17","77","6","56","17","78","6","51","16","72","5","49","16","70"
"Arizona","6.3872","86.5679","14.0036","106.9587","5.6631","77.4671","21.1533","110.102","5.8393","79.4149","20.9854","106.2396","7.2801","78.6223","22.7321","108.6345","7.0461","80.4071","20.6819","108.1351","7.2204","81.0507","20.5436","108.8147","6.6896","83.2914","21.6593","111.6402","6.4953","82.39","18.9328","107.8181","5.605359412","82.58703799","18.32946691","106.5218643","4.665524096","85.28017378","20.2396322","110.1853301","7.0409","82.2409","17.661","106.94","5.09422198","88.14128175","17.76078439","110.9962881","4.485168884","88.16765536","15.71595013","108.3687744","4","82","16","103","4","77","15","96","4","74","15","93","4","72","15","91"
"Arkansas","13.8424","112.307","20.9468","147.0961","12.1908","102.7909","22.5249","141.1991","12.333","104.7358","20.7746","137.8434","12.0262","102.8531","26.8322","141.7114","11.8573","103.741","26.6591","142.2574","11.5284","100.3964","27.2884","139.2131","11.9353","98.6462","26.3446","136.9261","11.3459","95.9257","25.5344","132.8061","11.83859021","92.26586595","25.16476488","129.269221","11.07762006","93.68448729","26.40558986","131.1676972","11.697","87.0622","32.9191","131.68","12.20048152","83.58519253","30.99425453","126.7799286","11.25917194","84.87392899","27.57146134","123.7045623","11","82","26","120","11","82","26","119","11","81","24","116","11","84","23","118"
"California","15.8326","65.239","16.8036","97.8752","15.5385","66.2989","15.6722","95.7488","16.6576","65.1389","14.7151","96.5116","18.0755","64.6522","15.2736","98.0013","16.7061","64.9493","16.3033","97.9586","17.2756","63.7497","15.7476","96.7729","16.5919","63.0094","15.3871","94.9883","17.7518","62.7262","14.1123","94.5903","15.78613536","61.44920495","12.39759622","89.63293653","17.59654105","63.65033859","13.35817507","94.60505472","16.5496","63.7951","12.5439","92.89","15.51598082","62.86364241","13.29048102","91.67010425","15.22489704","61.16322837","13.65465224","90.04277765","14","60","13","87","13","59","13","85","13","57","12","82","13","58","13","84"
"Colorado","18.0921","57.5607","18.8418","94.4947","16.7597","55.9289","19.0697","95.0077","16.6323","57.5031","19.2547","93.3902","16.8758","57.896","19.9971","94.769","17.0926","60.6096","19.8811","97.5833","16.8257","58.4347","19.2676","94.528","17.0581","55.0278","17.4083","89.4942","17.0335","54.7154","16.4855","88.2344","17.12758266","54.1456727","16.34531622","87.61857158","18.23568709","54.17516934","17.18223712","89.59309355","18.229","53.2761","17.1145","88.62","17.24337012","55.76986341","15.98709941","89.00033293","16.30748146","51.9918488","16.31002236","84.60935261","11","58","17","86","11","50","17","77","11","50","16","77","11","51","16","78"
"Connecticut","2.6727","100.2577","N/A","102.9305","2.0081","99.7863","0.4347","105.1871","2.1436","102.7367","N/A","104.8803","2.3192","106.305","N/A","108.6241","2.3903","103.6829","0.7907","106.8639","2.5116","108.0859","0.7862","111.3838","2.5941","112.2898","0.8041","115.688","2.5943","112.8609","0.8281","116.2834","2.611705592","109.864378","0.847726457","113.3238101","2.572131003","110.6941271","1.104217838","114.3704759","2.5663","112.4027","0.9141","115.88","2.487508642","110.3100216","0.90381158","113.7013419","2.412512613","108.9589728","0.942365958","112.3138514","2","102","1","105","2","106","1","109","2","102","1","105","2","102","1","105"
"Delaware","N/A","115.7208","N/A","115.7208","N/A","105.949","N/A","106.1228","N/A","104.386","N/A","104.386","N/A","115.7337","N/A","115.7337","N/A","118.6483","N/A","118.6483","N/A","124.2897","N/A","124.2897","N/A","123.3907","N/A","123.3907","N/A","123.3238","N/A","123.3238","N/A","123.7759666","N/A","123.7759666","N/A","117.2126349","1.167527","118.3801619","N/A","114.2735","1.1377","115.41","N/A","111.9531791","1.114730559","113.0679097","N/A","110.0483738","0.384303249","110.432677","N/A","113","2","114","N/A","113","0","113","N/A","112","0","112","0","112","0","112"
"District of Columbia","19.6474","198.3218","48.7129","266.6821","N/A","180.4031","45.4416","255.3562","N/A","183.1466","47.17","230.3166","N/A","190.1198","50.8893","241.0091","N/A","193.3862","48.1493","241.5355","N/A","201.8606","52.1183","253.9789","N/A","193.3428","48.0458","241.3886","N/A","193.1356","45.1646","238.3002","N/A","189.2155596","42.79167488","232.0072345","N/A","186.1529232","46.46196918","232.6148924","N/A","184.2603","46.6317","230.89","8.935351467","178.0072231","31.39698206","218.3395566","8.411682983","171.0784789","33.06678298","212.5569448","9","168","32","209","9","164","32","205","N/A","163","30","193","0","160","32","192"
