"Title: Hospital Inpatient Days per 1,000 Population by Ownership Type | The Henry J. Kaiser Family Foundation"
"Timeframe: 1999 - 2015"
"Location","1999__State/Local Government","1999__Non-Profit","1999__For-Profit","1999__Total","2000__State/Local Government","2000__Non-Profit","2000__For-Profit","2000__Total","2001__State/Local Government","2001__Non-Profit","2001__For-Profit","2001__Total","2002__State/Local Government","2002__Non-Profit","2002__For-Profit","2002__Total","2003__State/Local Government","2003__Non-Profit","2003__For-Profit","2003__Total","2004__State/Local Government","2004__Non-Profit","2004__For-Profit","2004__Total","2005__State/Local Government","2005__Non-Profit","2005__For-Profit","2005__Total","2006__State/Local Government","2006__Non-Profit","2006__For-Profit","2006__Total","2007__State/Local Government","2007__Non-Profit","2007__For-Profit","2007__Total","2008__State/Local Government","2008__Non-Profit","2008__For-Profit","2008__Total","2009__State/Local Government","2009__Non-Profit","2009__For-Profit","2009__Total","2010__State/Local Government","2010__Non-Profit","2010__For-Profit","2010__Total","2011__State/Local Government","2011__Non-Profit","2011__For-Profit","2011__Total","2012__State/Local Government","2012__Non-Profit","2012__For-Profit","2012__Total","2013__State/Local Government","2013__Non-Profit","2013__For-Profit","2013__Total","2014__State/Local Government","2014__Non-Profit","2014__For-Profit","2014__Total","2015__State/Local Government","2015__Non-Profit","2015__For-Profit","2015__Total"
"United States","115.5758","509.8946","78.1993","703.6697","107.0568","495.2292","79.6259","681.9119","108.4759","492.4522","79.9226","680.8507","107.0343","495.1523","80.827","683.0136","105.6922","488.4679","82.1028","676.2628","105.4566","483.2269","84.0887","672.7722","104.6706","476.9153","83.0653","664.6512","105","470","83","657","106","459","80","645","104","457","84","644","98","446","84","628","95","434","84","613","92","423","86","600","89","412","89","591","85","405","87","577","84","394","88","566","84","394","88","566"
"Alabama","371.8493","324.2993","128.4766","824.6251","348.418","314.0868","143.0041","805.5088","351.3807","305.3141","142.6606","799.3554","278.7336","294.168","151.4114","724.3131","301.3904","316.3012","169.9235","787.6152","314.0798","319.9925","175.6933","809.7656","316.1894","304.9451","176.524","797.6586","368","214","193","775","362","212","193","767","364","207","182","754","355","202","178","735","335","186","176","697","326","185","168","679","330","182","160","672","349","189","159","697","354","179","155","688","353","152","198","703"
"Alaska","60.2179","293.4867","44.7974","398.502","66.3712","359.0641","42.567","468.0023","82.8721","354.1571","42.0359","479.065","72.5991","353.9523","41.2093","467.7606","68.9687","328.0126","46.2701","443.2514","64.9664","325.1135","44.7309","434.8108","69.8512","346.5405","45.0115","461.4031","63","337","50","450","65","376","52","493","67","379","58","504","57","374","55","485","65","359","56","480","68","344","58","470","59","349","60","468","65","383","64","512","68","379","63","511","68","362","83","513"
"Arizona","35.4747","401.4181","61.9239","498.8167","31.8206","369.3858","82.9432","484.1496","28.6276","366.1158","80.9929","475.7364","36.65","346.5392","84.4292","467.6184","35.5768","357.1199","85.7127","478.4094","37.563","361.5454","85.5513","484.6597","35.3919","368.0988","89.8129","493.3036","35","374","81","490","35","365","79","480","30","381","87","498","41","362","83","486","32","380","80","493","31","379","71","480","30","354","71","455","28","340","68","436","28","328","69","426","28","331","71","430"
"Arkansas","119.6352","613.5641","127.5","860.6993","92.5531","558.7185","129.8828","781.1544","83.8992","551.3965","120.4837","755.7794","82.6821","551.0748","146.0339","779.7908","83.1077","538.817","143.678","765.6026","82.5142","517.5422","145.6767","745.7331","82.2403","505.1792","134.0977","721.5172","83","486","123","692","84","471","119","673","79","488","127","694","84","445","148","677","87","418","148","653","81","423","137","641","81","412","133","626","78","399","137","614","76","394","125","596","79","415","118","612"
"California","98.1191","333.4356","85.8914","517.4461","95.4012","339.1044","79.661","514.1665","104.7789","333.0155","78.6904","516.4848","113.0447","336.2719","81.84","531.1566","114.6798","327.776","88.0954","530.5512","108.63","318.8886","84.4903","512.0089","104.6206","318.2848","81.4871","504.3926","111","319","75","504","97","307","66","469","102","319","72","493","99","312","65","476","93","307","68","467","89","296","68","454","90","288","68","445","85","278","67","430","85","269","67","421","84","273","71","428"
"Colorado","105.6723","277.5109","97.0015","480.1847","100.9205","258.737","99.4561","459.1137","107.3739","274.661","94.7433","476.7783","103.9502","277.0604","101.5598","482.5704","103.3991","288.2579","103.584","495.2409","103.074","274.6876","88.9089","466.6705","102.1763","262.4087","86.5362","451.1211","104","267","83","454","106","257","83","446","108","251","89","448","102","256","87","445","96","262","85","443","94","243","87","424","71","275","88","434","73","245","90","408","77","239","85","400","75","238","84","397"
"Connecticut","17.2942","613.5591","NA","630.8533","14.096","601.4503","4.1832","619.7295","14.9787","621.5505","NA","636.5291","14.7051","632.685","NA","647.3901","15.9119","562.5456","3.4417","581.8991","16.2265","622.8666","3.9143","643.0074","17.0226","639.0112","4.4617","660.4954","17","638","4","659","16","587","5","608","16","632","7","656","16","646","5","667","14","622","5","640","14","569","5","588","11","555","5","572","11","580","5","596","10","566","5","582","10","545","5","560"
"Delaware","NA","653.6512","NA","653.6512","NA","642.7059","NA","642.7059","NA","631.2885","NA","631.2885","NA","677.5375","NA","677.5375","NA","740.9047","NA","740.9047","NA","773.9128","NA","773.9128","NA","760.1566","NA","760.1566","N/A","785","N/A","785","N/A","777","N/A","777","N/A","692","8","700","N/A","668","8","676","N/A","637","8","645","N/A","626","11","637","N/A","565","10","574","N/A","572","10","582","N/A","584","12","596","0","589","12","601"
"District of Columbia","126.58","1422.1002","347.4547","1896.1349","NA","1269.7235","307.2955","1577.019","NA","1274.3419","303.1747","1577.5166","NA","1316.0815","328.6738","1644.7553","NA","1325.0404","298.1206","1623.1609","NA","1332.9484","437.7895","1770.7379","NA","1308.1751","402.9712","1711.1463","N/A","1279","394","1674","N/A","1259","286","1545","N/A","1298","320","1617","N/A","1246","301","1547","52","1225","255","1532","98","1192","253","1542","115","1118","240","1473","117","1101","247","1464","N/A","1166","236","1403","0","1168","250","1418"
