"Title: Hospital Outpatient Visits per 1,000 Population by Ownership Type | The Henry J. Kaiser Family Foundation"
"Timeframe: 1999 - 2015"
"Location","1999__State/Local Government","1999__Non-Profit","1999__For-Profit","1999__Total","2000__State/Local Government","2000__Non-Profit","2000__For-Profit","2000__Total","2001__State/Local Government","2001__Non-Profit","2001__For-Profit","2001__Total","2002__State/Local Government","2002__Non-Profit","2002__For-Profit","2002__Total","2003__State/Local Government","2003__Non-Profit","2003__For-Profit","2003__Total","2004__State/Local Government","2004__Non-Profit","2004__For-Profit","2004__Total","2005__State/Local Government","2005__Non-Profit","2005__For-Profit","2005__Total","2006__State/Local Government","2006__Non-Profit","2006__For-Profit","2006__Total","2007__State/Local Government","2007__Non-Profit","2007__For-Profit","2007__Total","2008__State/Local Government","2008__Non-Profit","2008__For-Profit","2008__Total","2009__State/Local Government","2009__Non-Profit","2009__For-Profit","2009__Total","2010__State/Local Government","2010__Non-Profit","2010__For-Profit","2010__Total","2011__State/Local Government","2011__Non-Profit","2011__For-Profit","2011__Total","2012__State/Local Government","2012__Non-Profit","2012__For-Profit","2012__Total","2013__State/Local Government","2013__Non-Profit","2013__For-Profit","2013__Total","2014__State/Local Government","2014__Non-Profit","2014__For-Profit","2014__Total","2015__State/Local Government","2015__Non-Profit","2015__For-Profit","2015__Total"
"United States","310.4869","1359.7217","146.304","1816.5126","300.7257","1393.3359","153.7275","1847.7891","311.7333","1420.238","156.8119","1888.7831","327.3892","1447.7352","157.0096","1932.134","325.752","1458.841","152.1587","1936.7517","328","1465","153","1946","326","1490","155","1971","341","1518","148","2007","343","1511","146","2000","359","1544","148","2050","354","1583","154","2091","352","1597","156","2106","351","1594","161","2106","347","1632","172","2150","344","1633","168","2145","349","1648","177","2174","362","1706","183","2251"
"Alabama","716.3428","762.9362","313.7955","1793.0745","674.9913","773.4289","340.6469","1789.0671","690.5352","707.2142","345.4875","1743.2369","836.0654","922.0404","484.7494","2242.8552","770.3213","863.7493","341.8878","1975.9584","680","816","330","1826","617","721","322","1659","819","563","366","1748","824","590","355","1769","936","640","353","1928","970","587","395","1952","860","595","384","1839","812","595","410","1817","812","501","376","1689","857","506","357","1720","948","479","329","1756","977","415","402","1794"
"Alaska","158.4391","1369.9322","137.9451","1666.3164","144.0399","1729.7538","151.6294","2025.4232","198.8496","1826.2201","168.2019","2193.2717","161.8627","1762.2895","161.0443","2085.1965","175.2962","1785.5279","265.6969","2226.5209","171","1639","214","2023","160","2073","280","2513","201","2083","337","2621","198","2146","267","2611","208","2094","159","2461","206","2130","194","2530","234","2067","196","2497","219","2017","203","2439","167","1637","185","1989","199","1490","171","1860","316","1885","213","2414","173","2261","223","2657"
"Arizona","142.8254","760.0581","131.5681","1034.4516","117.937","689.5714","218.4976","1026.006","104.0134","677.4207","175.8952","957.3293","131.537","650.0264","162.521","944.0844","129.8919","885.8504","186.3459","1202.0882","109","671","163","942","110","832","196","1138","109","782","173","1063","96","872","186","1154","74","944","169","1187","135","799","142","1077","119","988","160","1267","125","1039","158","1322","135","1025","174","1334","143","1009","167","1319","143","946","163","1252","145","966","182","1293"
"Arkansas","205.8464","1114.1338","230.5073","1550.4875","208.2233","1204.3313","232.9081","1645.4627","208.2847","1246.0126","214.9841","1669.2814","214.6502","1318.9728","254.2649","1787.888","194.3057","1243.8864","241.6949","1679.887","248","1270","243","1761","298","1271","222","1791","304","1270","236","1810","319","1304","225","1847","289","1234","211","1734","307","1197","243","1747","300","1143","276","1719","266","1110","262","1637","256","1211","270","1738","212","1209","307","1728","244","1189","280","1712","261","1330","289","1880"
"California","294.7449","921.2663","134.9889","1351.0001","285.4698","905.9584","130.4714","1321.8996","338.8526","930.3375","136.6379","1405.828","377.6186","990.1267","155.981","1523.7263","329.1337","896.2666","129.1532","1354.5535","346","857","121","1324","345","895","116","1356","363","1019","106","1488","320","853","83","1257","367","879","90","1336","342","879","85","1306","347","950","88","1385","352","950","96","1398","304","980","90","1374","300","1015","88","1404","295","1015","85","1395","302","1071","89","1462"
"Colorado","428.782","978.9817","179.8348","1587.5986","434.161","950.5305","166.7112","1551.4027","421.9676","971.7733","167.0763","1560.8171","423.3836","973.9994","160.586","1557.969","419.2443","961.4199","155.8039","1536.4681","433","945","133","1511","444","993","145","1582","434","949","142","1524","458","998","139","1595","496","1053","154","1704","499","1108","156","1763","503","992","139","1634","489","1067","138","1694","442","1136","149","1726","445","1095","127","1667","478","985","125","1588","507","973","137","1617"
"Connecticut","181.6774","1895.7487","N/A","2077.4261","40.7078","1906.5749","26.3443","1973.627","35.7402","1854.8152","N/A","1890.5554","44.5477","1875.816","N/A","1920.3637","53.6209","1909.1547","5.3565","1968.1321","65","1931","6","2002","73","1961","7","2041","79","2137","9","2225","83","2064","9","2156","79","2211","15","2305","82","2232","10","2324","77","2224","10","2311","76","2291","11","2378","78","2412","12","2502","78","2489","13","2579","80","2268","12","2360","80","2391","12","2483"
"Delaware","N/A","1787.9828","N/A","1787.9828","N/A","1858.9695","N/A","1858.9695","N/A","1866.4691","N/A","1866.4691","N/A","2416.8126","N/A","2416.8126","N/A","2471.21","N/A","2471.21","N/A","2248","N/A","2248","N/A","2219","N/A","2219","N/A","2158","N/A","2158","N/A","2126","N/A","2126","N/A","1903","16","1919","N/A","1955","16","1971","N/A","1970","16","1986","N/A","2038","N/A","2038","N/A","2280","N/A","2280","N/A","2258","0","2258","N/A","2253","0","2253","0","2385","0","2385"
"District of Columbia","154.7823","2048.0751","462.5549","2665.4123","N/A","1932.6137","397.3141","2329.9279","N/A","1998.4146","479.3371","2477.7516","N/A","2148.6602","532.6052","2681.2655","N/A","2352.6954","495.6171","2848.3125","N/A","2426","507","2933","N/A","2343","490","2834","N/A","2295","453","2748","N/A","3359","664","4023","N/A","3398","595","3993","N/A","3418","604","4022","171","3379","286","3836","110","3539","310","3958","122","3437","326","3884","122","3545","321","3988","N/A","3702","324","4026","0","3855","244","4099"
